species	exemplar	exemplar_isolate	exemplar_genbank_accession	exemplar_refseq_accession	exemplar_seq_complete	isolate_csv	isolate_genbank_accession_csv	isolate_seq_complete_csv	alternative_name_csv	abbrev_csv	isolate_abbrev	sort	taxnode_id	host	molecule	vmr_uid
Gemycircularvirus austro3	E	SF02_836	MK433236		Complete genome	NULL	NULL	NULL	Blackfly genomovirus 4		NULL	1	202208999	invertebrates	ssDNA(+/-)	33
Gemycircularvirus austro4	E	SF02_507	MK433241		Complete genome	NULL	NULL	NULL	Blackfly genomovirus 9		NULL	1	202208987	invertebrates	ssDNA(+/-)	34
Gemycircularvirus austro5	E	SF02_599	MK433237		Complete genome	NULL	NULL	NULL	Blackfly genomovirus 5		NULL	1	202209011	invertebrates	ssDNA(+/-)	35
Gemycircularvirus austro6	E	SF02_506	MK433242		Complete genome	NULL	NULL	NULL	Blackfly genomovirus 10		NULL	1	202208942	invertebrates	ssDNA(+/-)	36
Gemycircularvirus bemta1	E	AdO	KY230614	NC_035138	Complete genome	NULL	NULL	NULL	Bemisia-associated genomovirus AdO		NULL	1	202208973	invertebrates	ssDNA(+/-)	37
Gemycircularvirus blabi1	E	as41	KF371643	NC_025741	Complete genome	NULL	NULL	NULL	blackbird associated gemycircularvirus 1	BlGCV1	NULL	1	202203553	vertebrates	ssDNA	38
Gemycircularvirus bovas1	E	52_Fec78023_cow	KT862253	NC_030146	Complete genome	NULL	NULL	NULL	bovine associated gemycircularvirus 1	BoGCV1	NULL	1	202203554	vertebrates	ssDNA	39
Gemycircularvirus bromas1	E	NZ-NZG01-Sef-2012	KM510192	NC_026261	Complete genome	NULL	NULL	NULL	bromus associated gemycircularvirus 1	BGCV1	NULL	1	202203555	plants	ssDNA	40
Gemycircularvirus canlup1	E	South Douro	KY214442		Complete genome	NULL	NULL	NULL	Lupine feces-associated gemycircularvirus 2		NULL	1	202208984	plants	ssDNA(+/-)	41
Gemycircularvirus cassa1	E	G14	JQ412056	NC_023844	Complete genome	NULL	NULL	NULL	cassava associated gemycircularvirus 1	CaGCV1	NULL	1	202203556	plants	ssDNA(+/-)	42
Gemycircularvirus chicas1	E	27_Fec79971_chicken	KT862243	NC_030141	Complete genome	NULL	NULL	NULL	chicken associated gemycircularvirus 1	ChiGCV1	NULL	1	202203558	vertebrates	ssDNA	43
Gemycircularvirus chicas2	E	27_Fec16497_chicken	KT862242	NC_030140	Complete genome	NULL	NULL	NULL	chicken associated gemycircularvirus 2	ChiGCV2	NULL	1	202203559	vertebrates	ssDNA	44
Gemycircularvirus chickad1	E	254065908	KT309029	NC_027776	Complete genome	NULL	NULL	NULL	chickadee associated gemycircularvirus 1	ChGCV1	NULL	1	202203557	vertebrates	ssDNA	45
Gemycircularvirus citas1	E	CTGV/2/TUN/2015	MN708485		Complete genome	NULL	NULL	NULL	Citrus Tunisia genomovirus 2		NULL	1	202208971	plants	ssDNA(+/-)	46
Gemycircularvirus cybusi1	E	BC_I1644D_G1	MH545503	NC_075308	Complete genome	NULL	NULL	NULL	Spider associated circular virus 1		NULL	1	202208964	invertebrates	ssDNA(+/-)	47
Gemycircularvirus denbre1	E	BbaGV-1_US-AB02_739-2014	MG571096	NC_040347	Complete genome	NULL	NULL	NULL	Bark beetle-associated genomovirus 1		NULL	1	202209012	invertebrates	ssDNA(+/-)	48
Gemycircularvirus denbre2	E	BbaGV-2_US-AB02_1133-2014	MG571098		Complete genome	NULL	NULL	NULL	Bark beetle-associated genomovirus 2		NULL	1	202209013	invertebrates	ssDNA(+/-)	49
Gemycircularvirus denbre3	E	BbaGV-3_US-AB02_1323-2014	MG571099		Complete genome	NULL	NULL	NULL	Bark beetle-associated genomovirus 3		NULL	1	202209014	invertebrates	ssDNA(+/-)	50
Gemycircularvirus denbre4	E	BbaGV-4_US-AB02_249-2014	MG571100		Complete genome	NULL	NULL	NULL	Bark beetle-associated genomovirus 4		NULL	1	202209017	invertebrates	ssDNA(+/-)	51
Gemycircularvirus denpo1	E	BbaGV-5_US-AB01_6-2014	MG571101	NC_040370	Complete genome	NULL	NULL	NULL	Bark beetle-associated genomovirus 5		NULL	1	202208977	invertebrates	ssDNA(+/-)	52
Gemycircularvirus derva1	E	tick24_7	MF173065		Complete genome	NULL	NULL	NULL	Tick-associated genomovirus 1		NULL	1	202208980	invertebrates	ssDNA(+/-)	53
Gemycircularvirus dichism1	E	QS58_F27	MH939446		Complete genome	NULL	NULL	NULL	Plant associated genomovirus 19		NULL	1	202208955	plants	ssDNA(+/-)	54
Gemycircularvirus draga1	E	FL2-5X-2010	JX185429	NC_023871	Complete genome	NULL	NULL	NULL	dragonfly associated gemycircularvirus 1	DGCV1	NULL	1	202203560	invertebrates	ssDNA(+/-)	55
Gemycircularvirus echiam1	E	thrp_197969	KY308268	NC_033736	Complete genome	NULL	NULL	NULL	Thrips-associated genomovirus 1		NULL	1	202208990	invertebrates	ssDNA(+/-)	56
Gemycircularvirus equas1	E	30_Fec80061_horse	KT862248	NC_030143	Complete genome	NULL	NULL	NULL	equine associated gemycircularvirus 1	EGCV1	NULL	1	202203561	vertebrates	ssDNA	57
Gemycircularvirus erati1	E	BC_I1657E_H2	MH545509	NC_040346	Complete genome	NULL	NULL	NULL	Giant house spider associated circular virus 1		NULL	1	202208959	invertebrates	ssDNA(+/-)	58
Gemycircularvirus euhet1	E	Br1	MH047858	NC_040339	Complete genome	NULL	NULL	NULL	Euphorbia heterophylla associated gemycircularvirus		NULL	1	202208970	plants	ssDNA(+/-)	59
Gemycircularvirus furse1	E	as50	KF371638	NC_025736	Complete genome	NULL	NULL	NULL	fur seal associated gemycircularvirus 1	FSGCV1	NULL	1	202203562	vertebrates	ssDNA(+/-)	60
Gemycircularvirus geras1	E	P24a	KF371636	NC_025734	Complete genome	NULL	NULL	NULL	gerygone associated gemycircularvirus 1	GGCV1	NULL	1	202203563	vertebrates	ssDNA(+/-)	61
Gemycircularvirus geras2	E	P24b	KF371637	NC_025735	Complete genome	NULL	NULL	NULL	gerygone associated gemycircularvirus 2	GGCV2	NULL	1	202203564	vertebrates	ssDNA(+/-)	62
Gemycircularvirus geras3	E	P24c	KF371639	NC_025737	Complete genome	NULL	NULL	NULL	gerygone associated gemycircularvirus 3	GGCV3	NULL	1	202203565	vertebrates	ssDNA(+/-)	63
Gemycircularvirus giapa1	E	gpge003	MF327560		Complete genome	NULL	NULL	NULL	Giant panda associated gemycircularvirus		NULL	1	202208966	vertebrates	ssDNA(+/-)	64
Gemycircularvirus giapa2	E	gpge008	MF327565		Complete genome	NULL	NULL	NULL	Giant panda associated gemycircularvirus		NULL	1	202208983	vertebrates	ssDNA(+/-)	65
Gemycircularvirus giapa3	E	gpge011	MF327568		Complete genome	NULL	NULL	NULL	Giant panda associated gemycircularvirus		NULL	1	202208988	vertebrates	ssDNA(+/-)	66
Gemycircularvirus giapa4	E	gpge004	MF327561	NC_035197	Complete genome	NULL	NULL	NULL	Giant panda associated gemycircularvirus		NULL	1	202208991	vertebrates	ssDNA(+/-)	67
Gemycircularvirus giapa5	E	gpge010	MF327567		Complete genome	NULL	NULL	NULL	Giant panda associated gemycircularvirus		NULL	1	202208998	vertebrates	ssDNA(+/-)	68
Gemycircularvirus giapa6	E	gpge012	MF327569		Complete genome	NULL	NULL	NULL	Giant panda associated gemycircularvirus		NULL	1	202209008	vertebrates	ssDNA(+/-)	69
Gemycircularvirus giapa7	E	gpge001	MF327558		Complete genome	NULL	NULL	NULL	Giant panda associated gemycircularvirus		NULL	1	202209010	vertebrates	ssDNA(+/-)	70
Gemycircularvirus giapa8	E	gpge013	MF327570		Complete genome	NULL	NULL	NULL	Giant panda associated gemycircularvirus		NULL	1	202208946	vertebrates	ssDNA(+/-)	71
Gemycircularvirus gopha1	E	Tor_SP_110	MK570217		Complete genome	NULL	NULL	NULL	Tortoise genomovirus 17		NULL	1	202208956	vertebrates	ssDNA(+/-)	72
Gemycircularvirus gopha2	E	Tor_116_Tor4	MK570210		Complete genome	NULL	NULL	NULL	Tortoise genomovirus 10		NULL	1	202209005	vertebrates	ssDNA(+/-)	73
Gemycircularvirus gopha3	E	ctjg823	MK032737		Complete genome	NULL	NULL	NULL	Genomoviridae sp.		NULL	1	202209006	vertebrates	ssDNA(+/-)	74
Gemycircularvirus hadtis1	E	ctij207	MK032733		Complete genome	NULL	NULL	NULL	Genomoviridae sp.		NULL	1	202208954	vertebrates	ssDNA(+/-)	75
Gemycircularvirus haeme1	E	A2N_A	MK249235		Complete genome	NULL	NULL	NULL	Finch associated genomovirus 5		NULL	1	202208958	vertebrates	ssDNA(+/-)	76
Gemycircularvirus haeme2	E	A3N_A	MK249242		Complete genome	NULL	NULL	NULL	Finch associated genomovirus 6		NULL	1	202209002	vertebrates	ssDNA(+/-)	77
Gemycircularvirus hydro1	E	cap1_SP_603	MK483072		Complete genome	NULL	NULL	NULL	Capybara genomovirus 1		NULL	1	202208995	vertebrates	ssDNA(+/-)	78
Gemycircularvirus hypas1	E	VNHJ1W	KF413620	NC_038479	Complete genome	NULL	NULL	NULL	hypericum associated gemycircularvirus 1	HGCV1	NULL	1	202203566	plants	ssDNA(+/-)	79
Gemycircularvirus ixode1	E	tick25_VL-10	MF173067		Complete genome	NULL	NULL	NULL	Tick-associated genomovirus 3		NULL	1	202208979	invertebrates	ssDNA(+/-)	80
Gemycircularvirus lamas1	E	29_Fec80018_llama	KT862245	NC_030142	Complete genome	NULL	NULL	NULL	lama associated gemycircularvirus 1	LGCV1	NULL	1	202203567	vertebrates	ssDNA	81
Gemycircularvirus lebec1	E	QS9_F22	MH939431		Complete genome	NULL	NULL	NULL	Plant associated genomovirus 20		NULL	1	202208940	plants	ssDNA(+/-)	82
Gemycircularvirus legle1	E	1773_PE_35	MH939377		Complete genome	NULL	NULL	NULL	Plant associated genomovirus 15		NULL	1	202208965	plants	ssDNA(+/-)	83
Gemycircularvirus lepa2	E	CL1_46	MG641191		Complete genome	NULL	NULL	NULL	Lynx canadensis faeces associated genomovirus CL1 46		NULL	1	202209018	vertebrates	ssDNA(+/-)	84
Gemycircularvirus lepam1	E	MP111	MG641205		Complete genome	NULL	NULL	NULL	Alces alces faeces associated genomovirus MP111		NULL	1	202208936	vertebrates	ssDNA(+/-)	85
Gemycircularvirus lepam2	E	MP43	MG641202		Complete genome	NULL	NULL	NULL	Alces alces faeces associated genomovirus MP43		NULL	1	202209015	vertebrates	ssDNA(+/-)	86
Gemycircularvirus lepam3	E	SHP9	MG641211		Complete genome	NULL	NULL	NULL	Lepus americanus faeces associated genomovirus SHP9		NULL	1	202209016	vertebrates	ssDNA(+/-)	87
Gemycircularvirus lynca1	E	CL1_48	MG641192	NC_040372	Complete genome	NULL	NULL	NULL	Lynx canadensis faeces associated genomovirus CL1 48		NULL	1	202208962	vertebrates	ssDNA(+/-)	88
Gemycircularvirus lynca2	E	CL1_71	MG641194		Complete genome	NULL	NULL	NULL	Lynx canadensis faeces associated genomovirus CL1 71		NULL	1	202209000	vertebrates	ssDNA(+/-)	89
Gemycircularvirus lynca3	E	CL5_48	MG641201		Complete genome	NULL	NULL	NULL	Lynx canadensis faeces associated genomovirus CL5 48		NULL	1	202208967	vertebrates	ssDNA(+/-)	90
Gemycircularvirus lynca4	E	CL1_148	MG641197	NC_040371	Complete genome	NULL	NULL	NULL	Lynx canadensis faeces associated genomovirus CL1 148		NULL	1	202209001	vertebrates	ssDNA(+/-)	91
Gemycircularvirus malas1	E	as24	KF371635	NC_025733	Complete genome	NULL	NULL	NULL	mallard associated gemycircularvirus 1	MGCV1	NULL	1	202203568	vertebrates	ssDNA(+/-)	92
Gemycircularvirus minio1	E	CV-23/GD2012	KJ641719	NC_038480	Complete genome	NULL	NULL	NULL	miniopterus associated gemycircularvirus 1	BtGCV1	NULL	1	202203569	vertebrates	ssDNA	93
Gemycircularvirus miniti1	E	cthi275	MK032736		Complete genome	NULL	NULL	NULL	Genomoviridae sp.		NULL	1	202209004	vertebrates	ssDNA(+/-)	94
Gemycircularvirus miniti2	E	ctce776	MK032701		Complete genome	NULL	NULL	NULL	Genomoviridae sp.		NULL	1	202208947	vertebrates	ssDNA(+/-)	95
Gemycircularvirus miniti3	E	ctbh806	MK032712		Complete genome	NULL	NULL	NULL	Genomoviridae sp.		NULL	1	202208997	vertebrates	ssDNA(+/-)	96
Gemycircularvirus miniti4	E	ctjb817	MK032709		Complete genome	NULL	NULL	NULL	Genomoviridae sp.		NULL	1	202208945	vertebrates	ssDNA(+/-)	97
Gemycircularvirus minti6	E	ctcj270	MH617534		Complete genome	NULL	NULL	NULL	Genomoviridae sp.		NULL	1	202208950	vertebrates	ssDNA(+/-)	98
Gemycircularvirus mocha1	E	Br1	MH047857		Complete genome	NULL	NULL	NULL	Momordica charantia associated gemycircularvirus		NULL	1	202208975	plants	ssDNA(+/-)	99
Gemycircularvirus monas1	E	478d	KP263547	NC_026810	Complete genome	NULL	NULL	NULL	mongoose associated gemycircularvirus 1	MGCV1	NULL	1	202203570	vertebrates	ssDNA(+/-)	100
Gemycircularvirus mosqi1	E	G	HQ335086	NC_038481	Complete genome	NULL	NULL	NULL	mosquito associated gemycircularvirus 1	MoGCV1	NULL	1	202203571	invertebrates	ssDNA	101
Gemycircularvirus mouti1	E	ctbd78	MK032728		Complete genome	NULL	NULL	NULL	Genomoviridae sp.		NULL	1	202208953	vertebrates	ssDNA(+/-)	102
Gemycircularvirus mouti10	E	ctbf84	MK032705		Complete genome	NULL	NULL	NULL	Genomoviridae sp.		NULL	1	202208951	vertebrates	ssDNA(+/-)	103
Gemycircularvirus mouti11	E	ctjj82	MK032718		Complete genome	NULL	NULL	NULL	Genomoviridae sp.		NULL	1	202208952	vertebrates	ssDNA(+/-)	104
Gemycircularvirus mouti12	E	ctbh39	MK032702		Complete genome	NULL	NULL	NULL	Genomoviridae sp.		NULL	1	202208985	vertebrates	ssDNA(+/-)	105
Gemycircularvirus mouti2	E	ctba76	MK032755		Complete genome	NULL	NULL	NULL	Genomoviridae sp.		NULL	1	202208976	vertebrates	ssDNA(+/-)	106
Gemycircularvirus mouti3	E	ctgb66	MK032715		Complete genome	NULL	NULL	NULL	Genomoviridae sp.		NULL	1	202208978	vertebrates	ssDNA(+/-)	107
Gemycircularvirus mouti4	E	ctda73	MK032719		Complete genome	NULL	NULL	NULL	Genomoviridae sp.		NULL	1	202208982	vertebrates	ssDNA(+/-)	108
Gemycircularvirus mouti5	E	ctjh74	MK032753		Complete genome	NULL	NULL	NULL	Genomoviridae sp.		NULL	1	202208989	vertebrates	ssDNA(+/-)	109
Gemycircularvirus mouti6	E	cted72	MK032735		Complete genome	NULL	NULL	NULL	Genomoviridae sp.		NULL	1	202208993	vertebrates	ssDNA(+/-)	110
Gemycircularvirus mouti7	E	ctdb80	MK032738		Complete genome	NULL	NULL	NULL	Genomoviridae sp.		NULL	1	202209009	vertebrates	ssDNA(+/-)	111
Gemycircularvirus mouti8	E	ctji71	MK032752		Complete genome	NULL	NULL	NULL	Genomoviridae sp.		NULL	1	202208941	vertebrates	ssDNA(+/-)	112
Gemycircularvirus mouti9	E	ctca70	MK032714		Complete genome	NULL	NULL	NULL	Genomoviridae sp.		NULL	1	202208948	vertebrates	ssDNA(+/-)	113
Gemycircularvirus odona1	E	US-260BC-12	KM598385	NC_038482	Complete genome	NULL	NULL	NULL	odonata associated gemycircularvirus 1	OGCV1	NULL	1	202203572	invertebrates	ssDNA	114
Gemycircularvirus odona2	E	US-1642KW-12	KM598387	NC_038483	Complete genome	NULL	NULL	NULL	odonata associated gemycircularvirus 2	OGCV2	NULL	1	202203573	invertebrates	ssDNA	115
Gemycircularvirus oltre1	E	L1	MH444690		Complete genome	NULL	NULL	NULL	Olive associated gemycircularvirus 1		NULL	1	202208969	plants	ssDNA(+/-)	116
Gemycircularvirus opunt1	E	EU1_SP897	MK947372		Complete genome	NULL	NULL	NULL	Plant associated genomovirus 25		NULL	1	202209007	plants	ssDNA(+/-)	117
Gemycircularvirus oxcor1	E	pt015-gen-1	MN823668		Complete genome	NULL	NULL	NULL	Oxalis corniculata genomoviridae		NULL	1	202208974	plants	ssDNA(+/-)	118
Gemycircularvirus pleca1	E	BS50/Hun/2013	KY302866		Complete genome	NULL	NULL	NULL	Gemycircularvirus sp.		NULL	1	202208986	vertebrates	ssDNA(+/-)	119
Gemycircularvirus poass1	E	TO_STO14-29204_2014	KT253577	NC_027820	Complete genome	NULL	NULL	NULL	poaceae associated gemycircularvirus 1	PGCV1	NULL	1	202203574	plants	ssDNA	120
Gemycircularvirus porci1	E	49_Fec80061_pig	KT862250	NC_030145	Complete genome	NULL	NULL	NULL	porcine associated gemycircularvirus 1	PoGCV1	NULL	1	202203575	vertebrates	ssDNA	121
Gemycircularvirus porci2	E	as5	KF371640	NC_025738	Complete genome	NULL	NULL	NULL	porcine associated gemycircularvirus 2	PoGCV2	NULL	1	202203576	vertebrates	ssDNA(+/-)	122
Gemycircularvirus ptero1	E	Tbat_45285	KT732804	NC_038484	Complete genome	NULL	NULL	NULL	pteropus associated gemycircularvirus 1	PtGCV1	NULL	1	202203577	vertebrates	ssDNA	123
Gemycircularvirus ptero10	E	Tbat_H_103958	KT732794	NC_038493	Complete genome	NULL	NULL	NULL	pteropus associated gemycircularvirus 10	PtGCV10	NULL	1	202203586	vertebrates	ssDNA	124
Gemycircularvirus ptero2	E	Tbat_103791	KT732792	NC_038485	Complete genome	NULL	NULL	NULL	pteropus associated gemycircularvirus 2	PtGCV2	NULL	1	202203578	vertebrates	ssDNA	125
Gemycircularvirus ptero3	E	Tbat_103852	KT732797	NC_038486	Complete genome	NULL	NULL	NULL	pteropus associated gemycircularvirus 3	PtGCV3	NULL	1	202203579	vertebrates	ssDNA	126
Gemycircularvirus ptero4	E	Tbat_H_103806	KT732814	NC_038487	Complete genome	NULL	NULL	NULL	pteropus associated gemycircularvirus 4	PtGCV4	NULL	1	202203580	vertebrates	ssDNA	127
Gemycircularvirus ptero5	E	Tbat_12377	KT732801	NC_038488	Complete genome	NULL	NULL	NULL	pteropus associated gemycircularvirus 5	PtGCV5	NULL	1	202203581	vertebrates	ssDNA	128
Gemycircularvirus ptero6	E	Tbat_103951	KT732803	NC_038489	Complete genome	NULL	NULL	NULL	pteropus associated gemycircularvirus 6	PtGCV6	NULL	1	202203582	vertebrates	ssDNA	129
Gemycircularvirus ptero7	E	Tbat_A_103746	KT732807	NC_038490	Complete genome	NULL	NULL	NULL	pteropus associated gemycircularvirus 7	PtGCV7	NULL	1	202203583	vertebrates	ssDNA	130
Gemycircularvirus ptero8	E	Tbat_31579	KT732806	NC_038491	Complete genome	NULL	NULL	NULL	pteropus associated gemycircularvirus 8	PtGCV8	NULL	1	202203584	vertebrates	ssDNA	131
Gemycircularvirus ptero9	E	Tbat_21383	KT732795	NC_038492	Complete genome	NULL	NULL	NULL	pteropus associated gemycircularvirus 9	PtGCV9	NULL	1	202203585	vertebrates	ssDNA	132
Gemycircularvirus raski1	E	ctbb31	MK032754		Complete genome	NULL	NULL	NULL	Genomoviridae sp.		NULL	1	202208957	vertebrates	ssDNA(+/-)	133
Gemycircularvirus ratas1	E	Ch-zjrat-01	KR912221	NC_027821	Complete genome	NULL	NULL	NULL	rat associated gemycircularvirus 1	RGCV1	NULL	1	202203587	vertebrates	ssDNA(+/-)	134
Gemycircularvirus rebac1	E	MR-110	MK738141		Complete genome	NULL	NULL	NULL	Northern red-backed vole stool-associated gemycircularvirus 110		NULL	1	202208949	vertebrates	ssDNA(+/-)	135
Gemycircularvirus recro1	E	yc-18	KY312557	NC_040379	Complete genome	NULL	NULL	NULL	Gemycircularvirus sp.		NULL	1	202208944	vertebrates	ssDNA(+/-)	136
Gemycircularvirus sarpe1	E	D90_GP5	MH939397		Complete genome	NULL	NULL	NULL	Plant associated genomovirus 17		NULL	1	202208972	plants	ssDNA(+/-)	137
Gemycircularvirus sclero1	E		GQ365709	NC_013116	Complete genome	NULL	NULL	NULL	sclerotinia gemycircularvirus 1	SSHDV1	NULL	1	202203588	fungi	ssDNA	138
Gemycircularvirus sewopo1	E	BS3917	KJ547638	NC_026164	Complete genome	NULL	NULL	NULL	sewage derived gemycircularvirus 1	SeGCV1	NULL	1	202203589	sewage (S)	ssDNA(+/-)	139
Gemycircularvirus sewopo2	E	BS4117	KJ547641	NC_026166	Complete genome	NULL	NULL	NULL	sewage derived gemycircularvirus 2	SeGCV2	NULL	1	202203590	sewage (S)	ssDNA(+/-)	140
Gemycircularvirus sewopo3	E	BS4014	KJ547636	NC_026162	Complete genome	NULL	NULL	NULL	sewage derived gemycircularvirus 3	SeGCV3	NULL	1	202203591	sewage (S)	ssDNA(+/-)	141
Gemycircularvirus sewopo4	E	BS3972	KJ547640	NC_038494	Complete genome	NULL	NULL	NULL	sewage derived gemycircularvirus 4	SeGCV4	NULL	1	202203592	sewage (S)	ssDNA(+/-)	142
Gemycircularvirus sewopo5	E	BS3970	KJ547639	NC_026165	Complete genome	NULL	NULL	NULL	sewage derived gemycircularvirus 5	SeGCV5	NULL	1	202203593	sewage (S)	ssDNA(+/-)	143
Gemycircularvirus sheas1	E	47_Fec80064_sheep	KT862249	NC_030144	Complete genome	NULL	NULL	NULL	sheep associated gemycircularvirus 1	ShGCV1	NULL	1	202203594	vertebrates	ssDNA	144
